id,name,id_bioguide,id_govtrack,id_icpsr,id_wikipedia,id_wikidata,id_google_entity_id,name_first,name_last,bio_birthday,bio_gender,id_house_history,name_middle,name_nickname,id_ballotpedia,name_suffix,id_bioguide_previous,id_house_history_alternate,other_names,id_thomas,id_cspan,id_votesmart,id_lis,name_official_full,id_opensecrets,id_fec,id_maplight,leadership_roles,family
A000322,David Atchison,A000322,400970,277,David Rice Atchison,Q1176322,kg:/m/02dn7,David,Atchison,1807-08-11,M,,Rice,,,,,,,,,,,,,,,,
A000323,Charles Atherton,A000323,400971,278,Charles G. Atherton,Q5077912,kg:/m/09k_xb,Charles,Atherton,1804-07-04,M,8706,Gordon,,,,,,,,,,,,,,,,
A000324,Charles Atherton,A000324,400972,279,Charles Humphrey Atherton,Q1064921,kg:/m/09l0f6,Charles,Atherton,1773-08-14,M,8707,Humphrey,,,,,,,,,,,,,,,,
A000325,Gibson Atherton,A000325,400973,280,Gibson Atherton,Q5559289,kg:/m/02rm0tz,Gibson,Atherton,1831-01-19,M,8709,,,,,,,,,,,,,,,,,
A000326,William Atkeson,A000326,400974,281,William O. Atkeson,Q913913,kg:/m/02rx9rl,William,Atkeson,1854-08-24,M,8711,Oscar,,,,,,,,,,,,,,,,
A000327,John Atkins,A000327,400976,282,John DeWitt Clinton Atkins,Q1699785,kg:/m/0dm6c6,John,Atkins,1825-06-04,M,8713,DeWitt Clinton,,,,,,,,,,,,,,,,
A000328,Archibald Atkinson,A000328,400977,283,Archibald Atkinson,Q633055,kg:/m/02rgwr2,Archibald,Atkinson,1792-09-15,M,8714,,,,,,,,,,,,,,,,,
A000329,Eugene Atkinson,A000329,400978,14602,Eugene Atkinson,Q1373045,kg:/m/062zc9,Eugene,Atkinson,05/04/1927,M,8715,Vincent,,,,,,,35,,,,,,,,,
A000330,George Atkinson,A000330,400979,284,George W. Atkinson,Q746279,kg:/m/026r9jt,George,Atkinson,1845-06-29,M,8716,Wesley,,,,,,,,,,,,,,,,
A000331,Louis Atkinson,A000331,400980,285,Louis E. Atkinson,Q6687078,kg:/m/0ksl6f,Louis,Atkinson,1841-04-16,M,8717,Evans,,,,,,,,,,,,,,,,
